Code,Occupation_Name,Nom_de_la_profession,Employment_emploi_2023,Employment_Growth_croissance_emploi,Retirements_retraites,Other_Replacement_autre_remplacement,Total_Job_Openings_Perspective_d'emploi,School_Leavers_Sortants_scolaires,Immigration,Other_Seekers_autres_chercheurs,Job_Seekers_Chercheurs_emploi,Recent_Labour_Market_Conditions,Future_Labour_Market_Conditions
72010,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des machinistes et du personnel des métiers du formage, du profilage et du montage des métaux et personnel assimilé",20200,2200,4000,1300,7500,1400,900,5600,7900,Balance,Balance
72011,"Contractors and supervisors, electrical trades and telecommunications occupations",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en électricité et en télécommunications,32400,3000,6500,2000,11500,5400,1500,4700,11700,Balance,Balance
72012,"Contractors and supervisors, pipefitting trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en tuyauterie,14100,1900,3100,800,5900,2100,700,3200,6100,Balance,Balance
72013,"Contractors and supervisors, carpentry trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en charpenterie,31500,4600,6400,1900,12800,7200,1700,1800,10700,Balance,Balance
72014,"Contractors and supervisors, other construction trades, installers, repairers and servicers",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des autres métiers de la construction et des services de réparation et d'installation,63000,2300,14200,4000,20500,6900,5700,4900,17500,Balance,Balance
72020,"Contractors and supervisors, mechanic trades",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses en mécanique,73800,8700,20200,4800,33700,8400,2300,23500,34200,Balance,Balance
72021,"Contractors and supervisors, heavy equipment operator crews",Entrepreneurs/entrepreneuses et contremaîtres/contremaîtresses des équipes d'opérateurs d'équipement lourd,64000,9000,13100,4000,26100,9200,2000,12700,23900,Balance,Balance
72022,"Supervisors, printing and related occupations",Surveillants/surveillantes de l'imprimerie et du personnel assimilé,5100,0,2700,500,3200,400,500,1800,2600,Balance,Balance
72023,"Supervisors, railway transport operations",Surveillants/surveillantes des opérations du transport ferroviaire,1300,100,200,100,400,400,100,-100,400,Balance,Balance
72024,"Supervisors, motor transport and other ground transit operators",Surveillants/surveillantes du transport routier et du transport en commun,35500,5400,11500,2500,19300,5000,3200,11200,19400,Balance,Balance
72025,"Supervisors, mail and message distribution occupations",Superviseurs/superviseures de services postaux et de messageries,11200,800,3700,800,5300,1300,700,3300,5300,Balance,Balance
72100,Machinists and machining and tooling inspectors,Machinistes et vérificateurs/vérificatrices d'usinage et d'outillage,43400,1000,12300,2900,16200,8100,3600,4000,15700,Moderate signs of Shortage,Moderate risk of Shortage
72101,Tool and die makers,Outilleurs-ajusteurs/outilleuses-ajusteuses,11700,200,3700,900,4900,2300,600,1700,4600,Balance,Balance
72102,Sheet metal workers,Tôliers/tôlières,13900,1100,2800,800,4700,3800,600,400,4800,Moderate signs of Shortage,Moderate risk of Shortage
72103,Boilermakers,Chaudronniers/chaudronnières,2800,300,600,200,1100,800,200,200,1100,Balance,Balance
72104,Structural metal and platework fabricators and fitters,Assembleurs/assembleuses et ajusteurs/ajusteuses de plaques et de charpentes métalliques,4300,-100,900,300,1100,1600,400,-700,1300,Moderate signs of Shortage,Balance
72105,Ironworkers,Monteurs/monteuses de charpentes métalliques,14700,2000,2000,800,4800,5800,1900,-1300,6400,Balance,Balance
72106,Welders and related machine operators,Soudeurs/soudeuses et opérateurs/opératrices de machines à souder et à braser,90900,5600,14900,5000,25600,30000,8000,-13000,25000,Moderate signs of Shortage,Moderate risk of Shortage
72200,Electricians (except industrial and power system),Électriciens/électriciennes (sauf électriciens industriels/électriciennes industrielles et de réseaux électriques),119300,35600,14100,6600,56300,61800,5200,-11100,55800,Moderate signs of Shortage,Moderate risk of Shortage
72201,Industrial electricians,Électriciens industriels/électriciennes industrielles,35600,3000,9000,2300,14300,9300,1700,3800,14900,Moderate signs of Shortage,Moderate risk of Shortage
72202,Power system electricians,Électriciens/électriciennes de réseaux électriques,4600,800,400,200,1400,1500,100,-100,1500,Balance,Balance
72203,Electrical power line and cable workers,Monteurs/monteuses de lignes électriques et de câbles,12900,1100,1500,600,3200,5000,300,-2000,3200,Balance,Balance
72204,Telecommunications line and cable installers and repairers,Installateurs/installatrices et réparateurs/réparatrices de lignes et de câbles de télécommunications,10100,500,1900,600,3000,2900,1300,-1500,2700,Balance,Balance
72205,Telecommunications equipment installation and cable television service technicians,Techniciens/techniciennes en installation de matériel de télécommunication et en services de câblodistribution,25900,3800,5100,1600,10500,7800,3400,-400,10800,Balance,Balance
72300,Plumbers,Plombiers/plombières,59900,12700,6800,3300,22800,28500,3100,-7600,24000,Moderate signs of Shortage,Moderate risk of Shortage
72301,"Steamfitters, pipefitters and sprinkler system installers","Tuyauteurs/tuyauteuses, monteurs/monteuses d'appareils de chauffage et poseurs/poseuses de gicleurs",25800,2300,2600,1500,6300,7700,1200,-1800,7100,Balance,Balance
72302,Gas fitters,Monteurs/monteuses d'installations au gaz,5500,300,800,300,1400,2100,200,-900,1400,Moderate signs of Shortage,Moderate risk of Shortage
72310,Carpenters,Charpentiers-menuisiers/charpentières-menuisières,132000,15600,21500,7600,44700,53700,10600,-25500,38800,Strong signs of Shortage,Strong risk of Shortage
72311,Cabinetmakers,Ébénistes,5200,100,1300,400,1800,1800,500,-500,1800,Moderate signs of Shortage,Moderate risk of Shortage
72320,Bricklayers,Briqueteurs-maçons/briqueteuses-maçonnes,10700,800,1800,600,3300,2500,1100,-500,3100,Moderate signs of Shortage,Moderate risk of Shortage
72321,Insulators,Calorifugeurs/calorifugeuses,9700,1700,1000,600,3300,1800,1000,600,3500,Balance,Balance
72400,Construction millwrights and industrial mechanics,Mécaniciens/mécaniciennes de chantier et mécaniciens industriels/mécaniciennes industrielles,88500,5300,25500,5200,36000,25200,4200,6600,36000,Moderate signs of Shortage,Moderate risk of Shortage
72401,Heavy-duty equipment mechanics,Mécaniciens/mécaniciennes d'équipement lourd,70600,10000,12700,3800,26500,26700,2600,-3100,26100,Strong signs of Shortage,Strong risk of Shortage
72402,"Heating, refrigeration and air conditioning mechanics","Mécaniciens/mécaniciennes en chauffage, réfrigération et climatisation",46100,10300,8800,2700,21800,20500,2200,-900,21800,Strong signs of Shortage,Strong risk of Shortage
72403,Railway carmen/women,Réparateurs/réparatrices de wagons,3100,200,500,200,900,700,100,-100,600,Balance,Balance
72404,Aircraft mechanics and aircraft inspectors,Mécaniciens/mécaniciennes et contrôleurs/contrôleuses d'aéronefs,18500,3200,5000,1300,9500,6800,1600,1200,9600,Moderate signs of Shortage,Moderate risk of Shortage
72405,Machine fitters,Ajusteurs/ajusteuses de machines,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72406,Elevator constructors and mechanics,Constructeurs/constructrices et mécaniciens/mécaniciennes d'ascenseurs,6000,1200,700,300,2100,1400,100,-200,1300,Balance,Balance
72410,"Automotive service technicians, truck and bus mechanics and mechanical repairers","Mécaniciens/mécaniciennes et réparateurs/réparatrices de véhicules automobiles, de camions et d'autobus",140400,15400,29500,7800,52600,53400,9400,-11200,51600,Moderate signs of Shortage,Moderate risk of Shortage
72411,"Auto body collision, refinishing and glass technicians and damage repair estimators","Techniciens/techniciennes en collision, en carrosserie, en peinture et en glace de véhicule automobile et estimateurs/estimatrices de dommages",29700,1700,6200,1700,9700,8500,2300,0,10800,Moderate signs of Shortage,Balance
72420,Oil and solid fuel heating mechanics,Installateurs/installatrices de brûleurs à l'huile et à combustibles solides,2100,300,900,200,1300,1600,100,-400,1200,Balance,Balance
72421,Appliance servicers and repairers,Réparateurs/réparatrices et préposés/préposées à l'entretien d'appareils,3900,200,1700,300,2200,800,600,400,1900,Balance,Balance
72422,Electrical mechanics,Électromécaniciens/électromécaniciennes,10900,1800,1800,700,4300,5700,900,-1900,4700,Strong signs of Shortage,Moderate risk of Shortage
72423,"Motorcycle, all-terrain vehicle and other related mechanics","Mécaniciens/mécaniciennes de motocyclettes, de véhicules tout-terrain et personnel mécanicien assimilé",12500,900,3000,900,4800,2300,400,2600,5400,Balance,Balance
72429,Other small engine and small equipment repairers,Autres réparateurs/réparatrices de petits moteurs et de petits équipements,3500,200,1100,300,1500,700,200,700,1500,Balance,Balance
72500,Crane operators,Grutiers/grutières,16600,1700,3200,1000,5900,2700,600,2600,5900,Balance,Balance
72501,Water well drillers,Foreurs/foreuses de puits d'eau,1200,300,100,100,500,200,0,0,100,Balance,Moderate risk of Shortage
72600,"Air pilots, flight engineers and flying instructors","Pilotes, navigateurs/navigatrices et instructeurs/instructrices de pilotage du transport aérien",19200,3400,4200,1200,8700,4800,1000,-500,5300,Moderate signs of Shortage,Strong risk of Shortage
72601,Air traffic controllers and related occupations,Contrôleurs aériens/contrôleuses aériennes et personnel assimilé,4600,500,600,300,1400,700,300,-200,800,Balance,Balance
72602,"Deck officers, water transport",Officiers/officières de pont du transport par voies navigables,6200,500,1800,400,2700,1500,400,100,1900,Balance,Balance
72603,"Engineer officers, water transport",Officiers mécaniciens/officières mécaniciennes du transport par voies navigables,4100,600,800,300,1700,1000,400,0,1400,Balance,Balance
72604,Railway traffic controllers and marine traffic regulators,Contrôleurs/contrôleuses de la circulation ferroviaire et régulateurs/régulatrices de la circulation maritime,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
72999,Other technical trades and related occupations,Autres métiers techniques et personnel assimilé,9700,1000,2400,600,4000,2300,600,1500,4300,Moderate signs of Shortage,Moderate risk of Shortage
73100,Concrete finishers,Finisseurs/finisseuses de béton,13400,1900,1600,800,4300,2500,2200,-400,4300,Moderate signs of Shortage,Moderate risk of Shortage
73101,Tilesetters,Carreleurs/carreleuses,10100,1400,1200,600,3200,2300,2600,-1300,3700,Balance,Balance
73102,"Plasterers, drywall installers and finishers and lathers","Plâtriers/plâtrières, poseurs/poseuses et finisseurs/finisseuses de systèmes intérieurs et latteurs/latteuses",27500,1600,4200,1700,7400,5900,4200,-3200,6900,Balance,Balance
73110,Roofers and shinglers,Couvreurs/couvreuses et poseurs/poseuses de bardeaux,23000,3700,2400,1300,7500,5800,2700,-300,8200,Moderate signs of Shortage,Moderate risk of Shortage
73111,Glaziers,Vitriers/vitrières,5400,700,1100,400,2200,2500,1100,-1900,1700,Balance,Balance
73112,Painters and decorators (except interior decorators),Peintres et décorateurs/décoratrices (sauf décorateurs/décoratrices d'intérieur),39200,2000,9800,2500,14300,7400,6300,100,13800,Moderate signs of Shortage,Moderate risk of Shortage
73113,Floor covering installers,Poseurs/poseuses de revêtements d'intérieur,16600,2000,3100,1100,6100,1900,2400,2000,6200,Moderate signs of Shortage,Moderate risk of Shortage
73200,Residential and commercial installers and servicers,"Personnel d'installation, d'entretien et de réparation d'équipement résidentiel et commercial",57400,4200,11100,3400,18700,14500,6700,-5100,16100,Balance,Balance
73201,General building maintenance workers and building superintendents,Préposés à l’entretien général et surintendants/surintendantes,76400,15000,27400,6100,48500,8600,6900,31500,47000,Balance,Balance
73202,Pest controllers and fumigators,Fumigateurs/fumigatrices et préposés/préposées au contrôle de la vermine,3500,800,1300,300,2400,800,400,900,2000,Balance,Balance
73209,Other repairers and servicers,Autres réparateurs/réparatrices et préposés/préposées à l'entretien,16600,1900,3500,1100,6500,3400,1300,1900,6500,Balance,Balance
73300,Transport truck drivers,Conducteurs/conductrices de camions de transport,319400,42300,83700,23000,148900,49100,55700,34600,139400,Moderate signs of Shortage,Moderate risk of Shortage
73301,"Bus drivers, subway operators and other transit operators",Conducteurs/conductrices d'autobus et opérateurs/opératrices de métro et autres transports en commun,101000,17100,41000,9600,67800,7100,5300,57200,69700,Moderate signs of Shortage,Balance
73310,Railway and yard locomotive engineers,Mécaniciens/mécaniciennes de locomotive et de cour de triage,6200,600,1400,500,2500,900,200,1700,2800,Balance,Balance
73311,Railway conductors and brakemen/women,Chefs de train et serre-freins,5700,300,200,300,900,2500,400,-2100,800,Balance,Balance
73400,Heavy equipment operators,Conducteurs/conductrices d'équipement lourd,75900,8500,17000,4800,30300,21200,1900,5400,28600,Balance,Balance
73401,Printing press operators,Opérateurs/opératrices de presses à imprimer,14600,-500,5200,1200,5800,1400,1300,2000,4700,Balance,Balance
73402,"Drillers and blasters - surface mining, quarrying and construction","Foreurs/foreuses et dynamiteurs/dynamiteuses de mines à ciel ouvert, de carrières et de chantiers de construction",2200,300,400,100,800,500,100,200,900,Balance,Balance
74100,Mail and parcel sorters and related occupations,Trieurs/trieuses de courrier et de colis et professions connexes,22200,2800,7700,1700,12100,2800,2300,6900,12000,Balance,Balance
74101,Letter carriers,Facteurs/factrices,33000,3900,10300,2200,16500,3900,1700,10500,16100,Balance,Balance
74102,Couriers and messengers,Messagers/messagères,20100,3000,5400,1500,9800,5600,2100,2500,10200,Balance,Balance
74200,Railway yard and track maintenance workers,Ouvriers/ouvrières de gares de triage et à l'entretien de la voie ferrée,7600,200,900,400,1500,1200,400,300,1900,Balance,Balance
74201,Water transport deck and engine room crew,Matelots de pont et matelots de salle des machines du transport par voies navigables,5500,400,1100,300,1800,1800,300,-1100,1000,Balance,Moderate risk of Shortage
74202,Air transport ramp attendants,Agents/agentes de piste dans le transport aérien,13600,1500,2000,800,4200,5000,1200,-1900,4300,Balance,Balance
74203,Automotive and heavy truck and equipment parts installers and servicers,Préposés/préposées à la pose et à l'entretien des pièces mécaniques d'automobiles et de camions et équipements lourds,14900,1100,1200,700,3000,6200,1500,-4400,3300,Balance,Balance
74204,Utility maintenance workers,Personnel d'entretien des services publics,8100,900,1600,500,3000,1600,500,700,2800,Balance,Balance
74205,Public works maintenance equipment operators and related workers,Conducteurs/conductrices de machinerie d'entretien public et personnel assimilé,29800,3600,10100,2000,15700,5300,900,9600,15800,Balance,Balance
75100,Longshore workers,Débardeurs/débardeuses,7300,1200,1500,500,3200,1900,2000,-900,3000,Strong signs of Surplus,Moderate risk of Surplus
75101,Material handlers,Manutentionnaires,229400,25300,44000,13900,83200,61000,49800,-27500,83300,Balance,Balance
75110,Construction trades helpers and labourers,Aides de soutien des métiers et manoeuvres en construction,143200,18200,12200,7900,38200,52200,16200,-34000,34400,Moderate signs of Shortage,Moderate risk of Shortage
75119,Other trades helpers and labourers,Autres manoeuvres et aides de soutien de métiers,7300,200,800,400,1500,3700,700,-2600,1700,Balance,Balance
75200,Taxi and limousine drivers and chauffeurs,"Chauffeurs/chauffeuses de taxi, chauffeurs/chauffeuses de limousine et chauffeurs/chauffeuses",62100,10200,17500,4800,32500,8800,15400,8300,32500,Balance,Balance
75201,Delivery service drivers and door-to-door distributors,Chauffeurs-livreurs/chauffeuses-livreuses de services de livraison et distributeurs/distributrices porte-à-porte,97900,13100,28400,6900,48400,21200,24700,900,46900,Balance,Balance
75210,Boat and cable ferry operators and related occupations,"Opérateurs/opératrices de bateau à moteur, de bac à câble et personnel assimilé",2600,300,1000,300,1600,800,100,800,1700,Balance,Balance
75211,Railway and motor transport labourers,Manoeuvres dans le transport ferroviaire et routier,4600,700,700,300,1700,1800,600,-700,1700,Balance,Balance
75212,Public works and maintenance labourers,Manoeuvres à l'entretien des travaux publics,28100,2900,5300,1600,9800,5600,1400,3800,10800,Balance,Balance
80010,Managers in natural resources production and fishing,Directeurs/directrices de l'exploitation des ressources naturelles et de la pêche,13800,2200,3900,900,7000,200,900,4200,5300,Balance,Balance
80020,Managers in agriculture,Gestionnaires en agriculture,122400,-12500,53100,11600,52100,1600,3000,29600,34200,Balance,Balance
80021,Managers in horticulture,Gestionnaires en horticulture,7300,-200,1700,600,2100,100,300,1600,2000,Balance,Balance
80022,Managers in aquaculture,Gestionnaires en aquaculture,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
82010,"Supervisors, logging and forestry",Surveillants/surveillantes de l'exploitation forestière,4900,400,900,400,1700,1700,200,-500,1400,Balance,Balance
82020,"Supervisors, mining and quarrying",Surveillants/surveillantes de l'exploitation des mines et des carrières,8500,700,2200,500,3400,1100,200,1400,2700,Balance,Balance
82021,"Contractors and supervisors, oil and gas drilling and services",Entrepreneurs/entrepreneuses et surveillants/surveillantes du forage et des services reliés à l'extraction de pétrole et de gaz,17900,2100,2800,1100,6100,700,600,4000,5300,Moderate signs of Shortage,Moderate risk of Shortage
82030,Agricultural service contractors and farm supervisors,Entrepreneurs/entrepreneuses de services agricoles et surveillants/surveillantes d'exploitations agricoles,8700,800,1100,500,2500,2600,800,-1200,2200,Balance,Balance
82031,"Contractors and supervisors, landscaping, grounds maintenance and horticulture services","Entrepreneurs/entrepreneuses et superviseurs/superviseures des services de l'aménagement paysager, de l'entretien des terrains et de l'horticulture",25200,1200,2600,1500,5300,7000,1700,-2400,6400,Balance,Balance
83100,Underground production and development miners,"Mineurs/mineuses d'extraction et de préparation, mines souterraines",29400,3600,4700,1700,9900,6100,200,4200,10500,Balance,Balance
83101,"Oil and gas well drillers, servicers, testers and related workers",Foreurs/foreuses et personnel de mise à l'essai et des autres services reliés à l'extraction de pétrole et de gaz,23500,2500,5400,1500,9400,3900,2200,4100,10200,Moderate signs of Shortage,Balance
83110,Logging machinery operators,Conducteurs/conductrices de machines d'abattage d'arbres,7800,1500,3500,700,5700,2100,100,2600,4900,Balance,Balance
83120,Fishing masters and officers,Capitaines et officiers/officières de bâtiments de pêche,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
83121,Fishermen/women,Pêcheurs indépendants/pêcheuses indépendantes,10600,-300,3300,1000,3900,1700,100,800,2600,Balance,Balance
84100,Underground mine service and support workers,Travailleurs/travailleuses d'entretien et de soutien des mines souterraines,3100,100,600,200,800,800,100,-100,800,Balance,Balance
84101,Oil and gas well drilling and related workers and services operators,Travailleurs/travailleuses du forage et de l'entretien des puits de pétrole et de gaz et personnel assimilé,4300,0,700,200,1000,700,200,200,1200,Balance,Balance
84110,Chain saw and skidder operators,Opérateurs/opératrices de scies à chaîne et d'engins de débardage,4200,300,1000,400,1700,900,100,500,1400,Balance,Balance
84111,Silviculture and forestry workers,Ouvriers/ouvrières en sylviculture et en exploitation forestière,3000,500,100,200,800,1900,100,-700,1300,Balance,Moderate risk of Surplus
84120,Specialized livestock workers and farm machinery operators,Ouvriers spécialisés/ouvrières spécialisées dans l’élevage et opérateurs/opératrices de machineries agricoles,29100,2900,4700,1700,9400,6700,2400,-2000,7100,Strong signs of Shortage,Strong risk of Shortage
84121,Fishing vessel deckhands,Matelots de pont sur les bâtiments de pêche,3300,-200,1000,300,1100,1400,100,-600,800,Balance,Balance
85100,Livestock labourers,Manoeuvres aux soins du bétail,30600,-600,4800,1700,5800,10100,4500,-10200,4500,Strong signs of Shortage,Strong risk of Shortage
85101,Harvesting labourers,Manoeuvres à la récolte,22900,-1600,4600,1500,4500,8800,4700,-11100,2500,Strong signs of Shortage,Strong risk of Shortage
85102,Aquaculture and marine harvest labourers,Manoeuvres de l'aquaculture et de la mariculture,3100,100,500,200,800,700,200,-100,800,Balance,Balance
85103,Nursery and greenhouse labourers,Manoeuvres de pépinières et de serres,22200,800,3000,1400,5100,7100,2400,-3500,5900,Strong signs of Shortage,Moderate risk of Shortage
85104,Trappers and hunters,Trappeurs/trappeuses et chasseurs/chasseuses,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
85110,Mine labourers,Manoeuvres des mines,3100,-100,200,200,300,900,100,-800,300,Moderate signs of Shortage,Moderate risk of Shortage
85111,"Oil and gas drilling, servicing and related labourers","Manoeuvres de forage et d'entretien des puits de pétrole et de gaz, et personnel assimilé",5100,300,200,300,800,1300,300,-400,1200,Moderate signs of Shortage,Balance
85120,Logging and forestry labourers,Manoeuvres de l'exploitation forestière,2300,200,400,200,800,1600,100,-800,1000,Balance,Balance
85121,Landscaping and grounds maintenance labourers,Manoeuvres en aménagement paysager et en entretien des terrains,80300,15100,16500,5200,36800,38600,4200,-6200,36500,Balance,Balance
90010,Manufacturing managers,Directeurs/directrices de la fabrication,110100,7900,31400,7400,46700,3800,10200,21900,35900,Balance,Balance
90011,Utilities managers,Directeurs/directrices des services d'utilité publique,16400,2000,4000,1100,7100,500,800,6000,7300,Balance,Balance
92010,"Supervisors, mineral and metal processing",Surveillants/surveillantes dans la transformation des métaux et des minerais,10100,300,3200,600,4100,1700,500,1800,4000,Balance,Balance
92011,"Supervisors, petroleum, gas and chemical processing and utilities","Surveillants/surveillantes dans le raffinage du pétrole, dans le traitement du gaz et des produits chimiques et dans les services d'utilité publique",19900,1900,4800,1400,8100,2200,1000,5000,8100,Balance,Balance
92012,"Supervisors, food and beverage processing",Surveillants/surveillantes dans la transformation des aliments et des boissons,26800,4000,6200,1600,11800,6900,5900,-900,11900,Balance,Balance
92013,"Supervisors, plastic and rubber products manufacturing",Surveillants/surveillantes dans la fabrication de produits en caoutchouc et en plastique,9400,1900,2900,700,5500,1400,700,2800,4900,Balance,Balance
92014,"Supervisors, forest products processing",Surveillants/surveillantes dans la transformation des produits forestiers,11300,-400,3700,700,3900,1600,600,1500,3700,Balance,Balance
92015,"Supervisors, textile, fabric, fur and leather products processing and manufacturing","Surveillants/surveillantes dans la transformation et la fabrication de produits textiles, de tissus, de fourrure et de cuir",3400,-100,1400,300,1600,600,500,200,1200,Balance,Balance
92020,"Supervisors, motor vehicle assembling",Surveillants/surveillantes dans la fabrication de véhicules automobiles,13000,2600,3400,900,6800,1800,700,4100,6600,Balance,Balance
92021,"Supervisors, electronics and electrical products manufacturing",Surveillants/surveillantes dans la fabrication de matériel électronique et d'appareils électriques,4400,300,1900,300,2600,1000,800,800,2600,Balance,Balance
92022,"Supervisors, furniture and fixtures manufacturing",Surveillants/surveillantes dans la fabrication de meubles et d'accessoires,5700,-200,2500,400,2800,600,1000,700,2200,Balance,Balance
92023,"Supervisors, other mechanical and metal products manufacturing",Surveillants/surveillantes dans la fabrication d'autres produits métalliques et de pièces mécaniques,18600,400,6000,1100,7500,4200,2900,-900,6200,Balance,Balance
92024,"Supervisors, other products manufacturing and assembly",Surveillants/surveillantes dans la fabrication et le montage de produits divers,12600,200,3700,800,4700,1700,1500,-400,2800,Balance,Balance
92100,Power engineers and power systems operators,Mécaniciens/mécaniciennes de centrales et opérateurs/opératrices de réseaux électriques,27600,700,7300,1600,9600,7000,1400,1500,9900,Balance,Balance
92101,Water and waste treatment plant operators,Opérateurs/opératrices d'installations du traitement de l'eau et des déchets,11800,2000,2700,700,5400,3200,700,1500,5300,Balance,Balance
93100,"Central control and process operators, mineral and metal processing",Opérateurs/opératrices de poste central de contrôle et de conduite de procédés industriels dans le traitement des métaux et des minerais,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93101,"Central control and process operators, petroleum, gas and chemical processing",Opérateurs/opératrices de salle de commande centrale et de conduite de procédés industriels dans le raffinage du pétrole et le traitement du gaz et des produits chimiques,16200,100,2500,800,3400,4400,800,-1800,3400,Balance,Balance
93102,"Pulping, papermaking and coating control operators","Opérateurs/opératrices au contrôle de la réduction en pâte des pâtes et papiers, de la fabrication du papier et du couchage",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
93200,Aircraft assemblers and aircraft assembly inspectors,Monteurs/monteuses d'aéronefs et contrôleurs/contrôleuses de montage d'aéronefs,9900,600,3300,600,4500,3800,1000,-500,4300,Balance,Balance
94100,"Machine operators, mineral and metal processing",Opérateurs/opératrices de machines dans le traitement des métaux et des minerais,14200,1100,2800,800,4800,3100,700,1000,4900,Balance,Balance
94101,Foundry workers,Ouvriers/ouvrières de fonderies,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94102,Glass forming and finishing machine operators and glass cutters,Opérateurs/opératrices de machines à former et à finir le verre et coupeurs/coupeuses de verre,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94103,"Concrete, clay and stone forming operators","Opérateurs/opératrices de machines dans le façonnage et la finition des produits en béton, en argile ou en pierre",4600,0,1000,300,1300,1000,700,-600,1000,Balance,Balance
94104,"Inspectors and testers, mineral and metal processing",Contrôleurs/contrôleuses et essayeurs/essayeuses dans la transformation des métaux et des minerais,4300,-200,700,300,800,400,300,-100,600,Balance,Balance
94105,Metalworking and forging machine operators,Opérateurs/opératrices de machines à forger et à travailler les métaux,26200,600,9300,1800,11600,6700,3300,1000,11100,Balance,Balance
94106,Machining tool operators,Opérateurs/opératrices de machines d'usinage,11900,700,4400,800,6000,2400,1500,2000,6000,Balance,Balance
94107,Machine operators of other metal products,Opérateurs/opératrices de machines d'autres produits métalliques,38100,3000,7700,2300,13000,6600,3700,-800,9500,Balance,Balance
94110,Chemical plant machine operators,Opérateurs/opératrices d'installations de traitement des produits chimiques,14400,900,5200,1000,7000,3800,2800,300,6900,Balance,Balance
94111,Plastics processing machine operators,Opérateurs/opératrices de machines de traitement des matières plastiques,15000,600,6300,1100,7900,1100,3900,2600,7600,Balance,Balance
94112,Rubber processing machine operators and related workers,Opérateurs/opératrices de machines de transformation du caoutchouc et personnel assimilé,5400,-200,2000,300,2100,1200,500,-200,1600,Balance,Balance
94120,Sawmill machine operators,Opérateurs/opératrices de machines à scier dans les scieries,7200,100,2500,500,3100,1600,700,700,3000,Balance,Balance
94121,"Pulp mill, papermaking and finishing machine operators",Opérateurs/opératrices de machines dans la fabrication et la finition du papier dans les usines de pâte à papier,7700,-600,2500,500,2400,1700,400,100,2200,Balance,Balance
94122,Paper converting machine operators,Opérateurs/opératrices de machines à façonner le papier,6300,-200,2300,500,2500,400,500,-300,600,Moderate signs of Shortage,Strong risk of Shortage
94123,Lumber graders and other wood processing inspectors and graders,Classeurs/classeuses de bois d'oeuvre et autres vérificateurs/vérificatrices et classeurs/classeuses dans la transformation du bois,2900,-100,1300,200,1400,400,100,1000,1500,Balance,Balance
94124,Woodworking machine operators,Opérateurs/opératrices de machines à travailler le bois,6400,-300,2200,400,2300,800,1000,100,1900,Balance,Balance
94129,Other wood processing machine operators,Autres opérateurs/opératrices de machines dans la transformation du bois,4200,100,1800,300,2200,1000,500,900,2300,Balance,Balance
94130,"Textile fibre and yarn, hide and pelt processing machine operators and workers","Opérateurs/opératrices de machines et travailleurs/travailleuses de traitement des fibres et des fils textiles, du cuir et des peaux",2300,0,300,200,500,400,200,-300,300,Balance,Balance
94131,"Weavers, knitters and other fabric making occupations","Tisseurs/tisseuses, tricoteurs/tricoteuses et autres opérateurs/opératrices de machines textiles",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94132,Industrial sewing machine operators,Opérateurs/opératrices de machines à coudre industrielles,17700,-300,8200,1500,9500,2000,5000,1800,8800,Balance,Balance
94133,"Inspectors and graders, textile, fabric, fur and leather products manufacturing","Contrôleurs/contrôleuses et trieurs/trieuses dans la fabrication de produits textiles, de tissus, de fourrure et de cuir",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
94140,"Process control and machine operators, food and beverage processing",Opérateurs/opératrices de machines et de procédés industriels dans la transformation des aliments et des boissons,66300,7000,13900,4200,25000,14000,19600,-9000,24600,Balance,Balance
94141,"Industrial butchers and meat cutters, poultry preparers and related workers","Bouchers industriels/bouchères industrielles, dépeceurs-découpeurs/dépeceuses-découpeuses de viande, préparateurs/préparatrices de volaille et personnel assimilé",18600,400,3900,1200,5500,3200,7000,-5300,5000,Strong signs of Shortage,Strong risk of Shortage
94142,Fish and seafood plant workers,Ouvriers/ouvrières dans les usines de transformation du poisson et de fruits de mer,3300,200,1600,300,2100,1000,900,300,2200,Strong signs of Shortage,Strong risk of Shortage
